fiche_no,client_matched,adresse_matched,date_heure,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
17673,Dar Said ,Sidi Bou Said,27/06/2026,Houssem,Controle,Zephyr,entree,Lin,115,0
17673,Dar Said ,Sidi Bou Said,27/06/2026,Houssem,Controle,Zephyr,WC H.C.B,Lin,0,0
17673,Dar Said ,Sidi Bou Said,27/06/2026,Houssem,Controle,Zephyr,WCF.C.B,Lin,0,0
17673,Dar Said ,Sidi Bou Said,27/06/2026,Houssem,Controle,Zephyr,Couloir Bank,Lin,100,0
17673,Dar Said ,Sidi Bou Said,27/06/2026,Houssem,Controle,Zephyr,K. Low,Lin,0,0
17673,Dar Said ,Sidi Bou Said,27/06/2026,Houssem,Controle,Zephyr,WC F. Low,Lin,0,0
17673,Dar Said ,Sidi Bou Said,27/06/2026,Houssem,Controle,Zephyr,WC H. Low,Lin,190,0
17680,Hotel Manera ,Sidi Bou Said,23/06/2026,Houssem,Controle,Note: livraison 4 Spray F.N.,null,null,0,0
17681,Ooredoo ,Lac2,20/06/2026,Houssem,Controle,Zee300,RDC.DG,R.U,0,0
17681,Ooredoo ,Lac2,20/06/2026,Houssem,Controle,Zee300,RDC. BD,R.U,84,0
17681,Ooredoo ,Lac2,20/06/2026,Houssem,Controle,Zee300,Boutique,R.U,0,0
17681,Ooredoo ,Lac2,20/06/2026,Houssem,Controle,Aromair100,+1 DG,R.N,116,0
17681,Ooredoo ,Lac2,20/06/2026,Houssem,Controle,Aromair100,+2 B.G,R.N,0,0
17681,Ooredoo ,Lac2,20/06/2026,Houssem,Controle,Aromair100,+3 B.G,R.N,0,0
17681,Ooredoo ,Lac2,20/06/2026,Houssem,Controle,Aromair100,+1 B.D,R.N,0,0
17646,Geliamo,Marsa,24/06/2026,Houssem,Controle,Aromair150,Entrée,Desigal,0,0
17682,Ooredoo ,Lac2,23/06/2026,Houssem,Controle,Central,+2 B.D,Rose.n,155,0
