maintenance_number,client,address,full_name,reference_year,service_date,month,source,model_diffuseur,emplacement,parfum,qte_restante,qte_livree,commentaire
014810,Arena Gym,El Manar,Arena Gym El Manar,2025,2025-01-25,1,Controle,,ENTREE,,0,0,
014810,Arena Gym,El Manar,Arena Gym El Manar,2025,2025-01-25,1,Recharge,,ENTREE,,0,300,
014963,Tuniscount,Soukra,Tuniscount  Soukra,2025,2025-02-01,2,Controle,Astree,"""-1""",FE3,0,0,
014963,Tuniscount,Soukra,Tuniscount  Soukra,2025,2025-02-01,2,Recharge,Astree,"""-1""",FE3,0,300,
014806,Le Golf,Marsa,Le Golf  Marsa,2025,2025-01-19,1,Controle,Aromair100,VCR,,45,0,
014806,Le Golf,Marsa,Le Golf  Marsa,2025,2025-01-19,1,Controle,Aromair100,VCH,,0,0,
014806,Le Golf,Marsa,Le Golf  Marsa,2025,2025-01-19,1,Recharge,Aromair100,VCR,,0,250,
014806,Le Golf,Marsa,Le Golf  Marsa,2025,2025-01-19,1,Recharge,Aromair100,VCR,,0,250,
014978,Zahia,Soukra,Zahia Soukra,2025,2025-02-02,2,Controle,Aromair100,Salon,FO,120,0,
014812,Polyclinique Les Jasmins,CUN,Polyclinique Les Jasmins  CUN,2025,2025-01-18,1,Controle,Astree,Cantin,TB,0,0,
014812,Polyclinique Les Jasmins,CUN,Polyclinique Les Jasmins  CUN,2025,2025-01-18,1,Controle,Astree,PDS,,61,0,
014982,Armani Mall,Lac2,Armani Mall Lac2,2025,2025-02-03,2,Controle,Aromair100,ENTREE,,211,0,
014813,716,CUN,716 CUN,2025,2025-01-18,1,Controle,,ENTREE,,0,0,
014813,716,CUN,716 CUN,2025,2025-01-18,1,Recharge,,ENTREE,,0,300,
014814,Clevory,Charguia,Clevory  Charguia,2025,2025-01-18,1,Controle,Aromair100,ENTREE,CASH,0,0,
014814,Clevory,Charguia,Clevory  Charguia,2025,2025-01-18,1,Recharge,Aromair100,ENTREE,CASH,0,300,
014965,AF Collection,Soukra,AF Collection Menzah4,2025,2025-02-07,2,Controle,Astree,RDC,,288,0,
014965,AF Collection,Soukra,AF Collection Menzah4,2025,2025-02-07,2,Controle,Iceburg,1er,,0,0,
014965,AF Collection,Soukra,AF Collection Menzah4,2025,2025-02-07,2,Controle,Aromair100,WC,,0,0,
014965,AF Collection,Soukra,AF Collection Menzah4,2025,2025-02-07,2,Recharge,,WC-1,,0,300,
014965,AF Collection,Soukra,AF Collection Menzah4,2025,2025-02-07,2,Recharge,Astree,RDC,,0,300,
014965,AF Collection,Soukra,AF Collection Menzah4,2025,2025-02-07,2,Recharge,,,,0,300,
014804,716,CUN,716 CUN,2025,2025-01-13,1,Controle,Iceburg,ENTREE,,0,0,
014804,716,CUN,716 CUN,2025,2025-01-13,1,Recharge,,Ext.,,0,250,
014812,Polyclinique Les Jasmins,CUN,Polyclinique Les Jasmins  CUN,2025,2025-01-18,1,Controle,Astree,Cantin,TB,0,0,
014812,Polyclinique Les Jasmins,CUN,Polyclinique Les Jasmins  CUN,2025,2025-01-18,1,Controle,Astree,PDS,,61,0,
014981,Diesel Mall,Lac2,Diesel Mall  Lac2,2025,2025-02-10,2,Controle,Aromair100,ENTREE,,192,0,
014981,Diesel Mall,Lac2,Diesel Mall  Lac2,2025,2025-02-10,2,Recharge,Aromair100,ENTREE,,0,300,
014967,HG Ykone,Lac1,HG Ykone  Lac1,2025,2025-02-07,2,Controle,Zee300,RDC,RG,250,0,
014967,HG Ykone,Lac1,HG Ykone  Lac1,2025,2025-02-07,2,Controle,Zee300,1er,RG,0,0,
014967,HG Ykone,Lac1,HG Ykone  Lac1,2025,2025-02-07,2,Controle,Astree,"""-1""",RG,0,0,
014807,Club NA,Gammarth,Club NA Gammarth,2025,2025-01-17,1,Controle,Aromair100,VCH,FE3,0,0,
014807,Club NA,Gammarth,Club NA Gammarth,2025,2025-01-17,1,Controle,Aromair100,VCH,FE3,0,0,
014807,Club NA,Gammarth,Club NA Gammarth,2025,2025-01-17,1,Controle,Zee300,codon,,0,0,
014807,Club NA,Gammarth,Club NA Gammarth,2025,2025-01-17,1,Recharge,Zee300,codon,,0,300,
014807,Club NA,Gammarth,Club NA Gammarth,2025,2025-01-17,1,Recharge,Aromair100,VCH,FE3,0,300,
014807,Club NA,Gammarth,Club NA Gammarth,2025,2025-01-17,1,Recharge,Aromair100,VCH,FE3,0,300,
014987,Terrazzino,Ariana,Terrazzino  Ariana,2025,2025-01-09,1,Controle,Zee300,entrée Droite,TH,600,0,
014987,Terrazzino,Ariana,Terrazzino  Ariana,2025,2025-01-09,1,Recharge,Zee300,entrée Droite,TH,0,600,
014809,Laico,Tunis,Laico  Tunis,2025,2025-01-17,1,Controle,,,,0,0,
014809,Laico,Tunis,Laico  Tunis,2025,2025-01-17,1,Controle,Aromair100,WC,,0,0,
014976,716,CUN,716 CUN,2025,2025-02-03,2,Controle,Aromair100,WC,,224,0,
014976,716,CUN,716 CUN,2025,2025-02-03,2,Controle,Aromair100,Salle,,0,0,
014976,716,CUN,716 CUN,2025,2025-02-03,2,Recharge,Aromair100,Salle,,0,150,
014818,Galata,Menzah9,Galata Menzah9,2025,2025-01-18,1,Controle,Astree,ENTREE,,0,0,
014818,Galata,Menzah9,Galata Menzah9,2025,2025-01-18,1,Controle,Astree,Balcon,,0,0,
014821,716,CUN,716 CUN,2025,2025-01-12,1,Controle,Zee300,ENTREE,,0,0,
014821,716,CUN,716 CUN,2025,2025-01-12,1,Controle,,Cavelle,,0,0,
014821,716,CUN,716 CUN,2025,2025-01-12,1,Recharge,,ENTREE,,0,900,
014821,716,CUN,716 CUN,2025,2025-01-12,1,Recharge,,CAVELLE,,0,900,
014986,YCR Studio,GP9,YCR Studio  GP9,2025,2025-02-06,2,Controle,Iceburg,Fond,TH,0,0,
014986,YCR Studio,GP9,YCR Studio  GP9,2025,2025-02-06,2,Recharge,Iceburg,Fond,,0,300,
014815,Edward's,Soukra,Edward's  Soukra,2025,2025-01-18,1,Controle,Iceburg,COC,,0,0,
014815,Edward's,Soukra,Edward's  Soukra,2025,2025-01-18,1,Recharge,Iceburg,COC,,0,300,
014805,Pharmacie Victoria,Lac1,Pharmacie Victoria Lac1,2025,2025-01-18,1,Controle,Aromair100,vitrine,RG,217,0,
014805,Pharmacie Victoria,Lac1,Pharmacie Victoria Lac1,2025,2025-01-18,1,Recharge,Aromair100,ENTREE,,0,300,
014801,716,Menzah6,716 Menzah6,2025,2025-01-17,1,Controle,Aromair100,WH,,97,0,
014801,716,Menzah6,716 Menzah6,2025,2025-01-17,1,Controle,Aromair100,WEF,,0,0,
014801,716,Menzah6,716 Menzah6,2025,2025-01-17,1,Controle,Zee600,ENTREE,FM,660,0,
014801,716,Menzah6,716 Menzah6,2025,2025-01-17,1,Controle,Zee600,etage,,0,0,
014801,716,Menzah6,716 Menzah6,2025,2025-01-17,1,Controle,Aromair100,Cuisine,,0,0,
014801,716,Menzah6,716 Menzah6,2025,2025-01-17,1,Recharge,Aromair100,Cuisine,,0,900,
014801,716,Menzah6,716 Menzah6,2025,2025-01-17,1,Recharge,,ENTREE,,0,900,
014801,716,Menzah6,716 Menzah6,2025,2025-01-17,1,Recharge,,ENTREE,,0,900,
014822,Mon Coin,Manar,Mon Coin  Manar,2025,2025-01-17,1,Controle,Aromair100,ENTREE,FE3,39,0,
014822,Mon Coin,Manar,Mon Coin  Manar,2025,2025-01-17,1,Recharge,Aromair100,ENTREE,FE3,0,300,
014994,Lord,Soukra,Lord Soukra,2025,2025-02-10,2,Controle,,,,0,0,
014833,Hamdi Workshop,Ennasr,Hamdi Workshop   Ennasr,2025,2025-01-11,1,Controle,Aromair100,ENTREE,JB,0,0,
014833,Hamdi Workshop,Ennasr,Hamdi Workshop   Ennasr,2025,2025-01-11,1,Controle,Aromair100,s.pm,,279,0,
014833,Hamdi Workshop,Ennasr,Hamdi Workshop   Ennasr,2025,2025-01-11,1,Controle,Aromair100,s.pm,,0,0,
014833,Hamdi Workshop,Ennasr,Hamdi Workshop   Ennasr,2025,2025-01-11,1,Recharge,Aromair100,ENTREE,JB,0,300,
014999,Centre Livraison VW,Kram,Centre Livraison VW  Kram,2025,2025-02-12,2,Controle,Astree,RDC,RG,24,0,
014999,Centre Livraison VW,Kram,Centre Livraison VW  Kram,2025,2025-02-12,2,Controle,Astree,"""-1""",RG,0,0,
014826,716,CUN,716 CUN,2025,2025-01-18,1,Controle,Aromair100,Salon,CASH,17,0,
014826,716,CUN,716 CUN,2025,2025-01-18,1,Controle,Aromair100,WC,CASH,153,0,
014826,716,CUN,716 CUN,2025,2025-01-18,1,Recharge,,Salon,CASH,0,300,
014826,716,CUN,716 CUN,2025,2025-01-18,1,Recharge,Aromair100,WC,CASH,0,300,
014989,Future Generation,Aouina,Future Generation Aouina,2025,2025-02-11,2,Controle,Aromair100,ENTREE,FE3,0,0,
014989,Future Generation,Aouina,Future Generation Aouina,2025,2025-02-11,2,Controle,Aromair100,Cuisine,FE3,94,0,
014989,Future Generation,Aouina,Future Generation Aouina,2025,2025-02-11,2,Recharge,Aromair100,ENTREE,,0,300,
014752,Renault,Charguia,Renault  Charguia,2025,2025-02-14,2,Controle,Astree,Salon,RG,175,0,
014752,Renault,Charguia,Renault  Charguia,2025,2025-02-14,2,Controle,Astree,BUREAU,RG,70,0,
014835,Global Studies,Lac2,Global Studies  Lac2,2025,2025-01-21,1,Controle,Aromair100,ENTREE,LINA (L),68,0,
014983,El Mnara,Sidi Bou Said,El Mnara Sidi Bou Said,2025,2025-02-10,2,Controle,Aromair100,Accal,FM,0,0,
014983,El Mnara,Sidi Bou Said,El Mnara Sidi Bou Said,2025,2025-02-10,2,Recharge,Zee300,"""-1""",FM,0,300,
014829,Tony Nasr,Jardin d'El Menzah,Tony Nasr Jardin d'El Menzah,2025,2025-01-18,1,Controle,Aromair100,ENTREE,FE3,35,0,
014829,Tony Nasr,Jardin d'El Menzah,Tony Nasr Jardin d'El Menzah,2025,2025-01-18,1,Recharge,Aromair100,ENTREE,FE3,0,300,
014984,716,CUN,716 CUN,2025,2025-02-10,2,Controle,Iceburg,Fond,TH,21,0,
014984,716,CUN,716 CUN,2025,2025-02-10,2,Recharge,Iceburg,Fond,TH,0,350,
014828,Padel,Borj Louzir,Padel Borj Louzir,2025,2025-01-18,1,Controle,Aromair100,ENTREE,,0,0,
014828,Padel,Borj Louzir,Padel Borj Louzir,2025,2025-01-18,1,Controle,Aromair100,WC,,97,0,
014828,Padel,Borj Louzir,Padel Borj Louzir,2025,2025-01-18,1,Recharge,Aromair100,WC,LINA (L),0,300,
