fiche_no,client_matched,adresse_matched,date_heure,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
017638,Hotel Concorde ,Lac1,17/06/26,Houssem,Controle,Centrale,+2,TB,0,0
017638,Hotel Concorde ,Lac1,17/06/26,Houssem,Controle,Aromair100,+2 au fond,Rose.n,200,0
017638,Hotel Concorde ,Lac1,17/06/26,Houssem,Recharge,Zee300,RDC,C. Sauvage,0,150
017638,Hotel Concorde ,Lac1,17/06/26,Houssem,Recharge,Centrale,+2,illusion,0,300
017638,Hotel Concorde ,Lac1,17/06/26,Houssem,Recharge,Aromair100,+2 au fond,Rose.n,0,100
017639,Maison Mr Ansi Cipalin,Jardins Carthage,17/06/26,Houssem,Controle,Astree,+2,A. Solaire,0,0
017639,Maison Mr Ansi Cipalin,Jardins Carthage,17/06/26,Houssem,Recharge,Astree,+2,A. Solaire,0,300
017640,ITDev ,Kram,17/06/26,Houssem,Controle,Zee300,Entree,RG,0,0
017640,ITDev ,Kram,17/06/26,Houssem,Recharge,Zee300,Entree,RG,0,300
017641,Casa Store ,Soukra,17/06/26,Houssem,Controle,Astree,Entree,MELANGE,240,0
017641,Casa Store ,Soukra,17/06/26,Houssem,Recharge,Astree,entrée,MELANGE,0,300
017642,Oishi,Soukra,17/06/26,Houssem,Controle,Astree,entree,illusion,40,0
017643,Strass ,Menzah5,23/06/26,Houssem,Controle,Aromair100,entrée,RG,150,0
017644,Cabinet Dr. Louati,Menzah6,23/06/26,Houssem,Controle,Zee300,S. attente,TH,120,0
017644,Cabinet Dr. Louati,Menzah6,23/06/26,Houssem,Controle,Aromair150,au fond,F.tec,190,0
017646,Geliamo,Marsa,24/06/26,Houssem,Controle,Aromair150,Entrée,Design,0,0
017647,ID & Partners ,Millenium Marsa,24/06/26,Houssem,Controle,Iceburg,entrée,Cashmere,115,0
017648,Barista's ,Jardins Carthage,24/06/26,Houssem,Controle,Note: Recuperation Diffuseur AR100 Blanc,null,null,0,0
017649,Assurance STAR ,Lac3,24/06/26,Houssem,Controle,Aromair150,Hotel,RG,0,0
017650,Delice Danone ,Lac3,24/06/26,Houssem,Controle,Zee300,entrée,null,95,0
017650,Delice Danone ,Lac3,24/06/26,Houssem,Controle,Aromair150,S. Reunion,null,260,0
017651,Ella Jewerly,Mall Tunis 2,24/06/26,Houssem,Controle,Aromair150,Au fond,Rose n,105,0
017652,Azalée,Soukra,24/06/26,Houssem,Controle,Iceburg,entrée,BG,95,0
017652,Azalée,Soukra,24/06/26,Houssem,Controle,Aromair150,+1,RG,90,0
017653,Mme Jemmeli,Marsa,25/06/26,Houssem,Controle,Zee300,SALON,Rose d'or,0,0
017653,Mme Jemmeli,Marsa,25/06/26,Houssem,Recharge,Zee300,SALON,Rose d'or,0,300
017654,Geliamo,Marsa,25/06/26,Houssem,Controle,Aromair150,entree,Design,0,0
017654,Geliamo,Marsa,25/06/26,Houssem,Recharge,Aromair150,entree,Design,0,200
017655,Le Sportif ,Soukra,25/06/26,Houssem,Controle,Zee600,Entree,null,null,0
017655,Le Sportif ,Soukra,25/06/26,Houssem,Controle,Note: Prise defectueuse,null,null,0,0
017658,Floralies ,Lac1,25/06/26,Houssem,Controle,Aromair600,entree,BT,0,0
017658,Floralies ,Lac1,25/06/26,Houssem,Recharge,Aromair600,entree,BT,0,600
017664,Barista's ,Jardins Carthage,26/06/26,Houssem,Recharge,Aromair100,WC,onde parfume,0,300
017667,Mosquee Socubat,Borj Louzir,21/06/26,Houssem,Controle,Aromair100,All,F.The,0,0
017667,Mosquee Socubat,Borj Louzir,21/06/26,Houssem,Recharge,Aromair100,All,F.The,0,300
017671,City Desk ,Soukra,26/06/26,Houssem,Recharge,Aromair150,entrée,MELANGE,0,300
017672,City Loft ,Soukra,26/06/26,Houssem,Controle,Aromair100,Au fond,Rose n,57,0
017672,City Loft ,Soukra,26/06/26,Houssem,Controle,Aromair100,1er étage,RG,0,0
017673,Dar Said ,Sidi Bou Said,27/06/26,Houssem,Controle,Zephyr,entree,Lin,115,0
017673,Dar Said ,Sidi Bou Said,27/06/26,Houssem,Controle,Zephyr,WC H.C.B,Lin,0,0
017673,Dar Said ,Sidi Bou Said,27/06/26,Houssem,Controle,Zephyr,WCF.C.B,Lin,0,0
017673,Dar Said ,Sidi Bou Said,27/06/26,Houssem,Controle,Zephyr,Couloir Bank,Lin,100,0
017673,Dar Said ,Sidi Bou Said,27/06/26,Houssem,Controle,Zephyr,K. Low,Lin,0,0
017673,Dar Said ,Sidi Bou Said,27/06/26,Houssem,Controle,Zephyr,WC F. Low,Lin,0,0
017673,Dar Said ,Sidi Bou Said,27/06/26,Houssem,Controle,Zephyr,WC H. Low,Lin,190,0
017674,Mall of Sousse ,Sousse,27/06/26,Houssem,Controle,Zee300,C. Mosquée,OB,95,0
017674,Mall of Sousse ,Sousse,27/06/26,Houssem,Controle,Zee600,WC F.C.,OB,160,0
017674,Mall of Sousse ,Sousse,27/06/26,Houssem,Controle,Zee600,WC H.C.,OB,0,0
017674,Mall of Sousse ,Sousse,27/06/26,Houssem,Controle,Aromair150,Mosquée,Rose d'or,30,0
017674,Mall of Sousse ,Sousse,27/06/26,Houssem,Controle,Astree,Admin,TH,58,0
017675,Boumiza Prod,Sousse,26/06/26,Houssem,Recharge,Aromair150,Entree,B.the,0,300
017676,Med Chakroun ,Hammam Sousse,27/06/26,Houssem,Controle,Zee300,entree,TH,239,0
017676,Med Chakroun ,Hammam Sousse,27/06/26,Houssem,Recharge,Zee300,entree,TH,0,300
017677,Parapharmacie La Grande,Sousse,27/06/26,Houssem,Recharge,Zee300,Entree,Lin,0,300
017678,Boumiza Square ,Sousse,27/06/26,Houssem,Controle,Zee600,RDC,FC,0,0
